return_12m,return_6m,volatility_6m,volume_change_1m,total_liabilities_to_total_assets,interest_coverage,net_income_to_total_assets,current_ratio,ticker
-0.030000000000000006,-0.07999999999999999,-0.10999999999999999,0.010000000000000002,0.0,0.0,-0.010000000000000002,0.0,AAPL
0.19999999999999996,0.12,0.25,-0.010000000000000009,0.010000000000000009,0.0,0.05999999999999994,0.0,AMC
0.13,0.10999999999999999,0.28,0.0,-0.010000000000000009,0.0,0.07000000000000006,0.020000000000000018,BBBY
0.13,0.050000000000000044,0.27,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018,BYND
0.17000000000000004,0.10999999999999999,0.26,-0.010000000000000009,0.0,0.030000000000000027,0.050000000000000044,0.020000000000000018,CMLS
-0.01999999999999999,-0.03,-0.10999999999999999,0.0,0.0,0.0,0.0,0.0,HD
-0.02,-0.06,-0.08,0.0,0.0,-0.030000000000000002,-0.009999999999999998,0.0,JNJ
-0.02,-0.08,-0.09,0.0,0.0,-0.03,-0.01,0.0,KO
-0.03,-0.08,-0.11000000000000001,-0.010000000000000002,0.0,0.0,0.0,0.0,MCD
-0.020000000000000004,0.0,-0.08,0.0,0.0,-0.039999999999999994,-0.009999999999999995,0.0,MSFT
0.0,-0.08,-0.08,0.0,0.0,-0.030000000000000002,-0.009999999999999998,0.0,PG
0.0,0.030000000000000027,0.29999999999999993,0.039999999999999925,0.010000000000000009,0.12,0.08999999999999997,0.05999999999999994,PLUG
0.16000000000000003,0.07999999999999996,0.27,0.0,0.0,0.020000000000000018,0.06000000000000005,0.030000000000000027,PTON
0.17999999999999994,0.14,0.27,0.0,0.0,0.06999999999999995,0.0,0.0,SEAT
0.15000000000000002,0.0,0.29000000000000004,0.0,0.0,0.06000000000000005,0.06000000000000005,0.050000000000000044,SPCE
0.0,-0.08,-0.08,0.009999999999999998,0.0,-0.04000000000000001,-0.010000000000000002,0.0,V
0.15000000000000002,0.07999999999999996,0.28,0.0,0.0,0.030000000000000027,0.020000000000000018,0.020000000000000018,WKHS
-0.02,-0.08,-0.09,0.0,0.0,-0.02,-0.01,0.0,WMT
